county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Autauga County, Alabama","55,648","42,160","11,445",217,881,35,910,"3,157"
"Baldwin County, Alabama","216,743","189,399","18,217","1,582","2,067",143,"5,335","15,024"
"Barbour County, Alabama","24,523","11,317","11,933",116,117,1,"1,039",700
"Bibb County, Alabama","21,534","16,555","4,413",60,32,9,465,759
"Blount County, Alabama","55,478","50,663",845,337,178,24,"3,431","3,656"
"Bullock County, Alabama","10,109","2,320","7,396",72,9,10,302,248
"Butler County, Alabama","18,464","9,752","8,430",29,143,5,105,587
"Calhoun County, Alabama","110,412","80,586","25,559",487,"1,190",119,"2,471","6,029"
"Chambers County, Alabama","33,562","18,850","13,512",106,401,13,680,"1,210"
"Cherokee County, Alabama","24,051","22,707",987,109,56,1,191,920
"Chilton County, Alabama","43,011","35,527","4,067",338,181,6,"2,892","2,003"
"Choctaw County, Alabama","12,405","7,074","5,232",30,22,0,47,260
"Clarke County, Alabama","22,535","12,029","10,255",74,94,1,82,552
"Clay County, Alabama","13,641","11,375","1,963",56,48,4,195,595
"Cleburne County, Alabama","14,490","13,819",466,53,21,2,129,566
"Coffee County, Alabama","49,358","37,080","8,760",640,909,61,"1,908","4,107"
"Colbert County, Alabama","54,530","43,631","9,286",270,432,9,902,"2,697"
"Conecuh County, Alabama","11,228","5,912","5,104",72,40,1,99,369
"Coosa County, Alabama","10,033","6,824","3,008",31,8,0,162,354
"Covington County, Alabama","36,128","30,877","4,607",147,240,0,257,"1,442"
"Crenshaw County, Alabama","12,715","9,388","3,103",62,83,2,77,479
"Cullman County, Alabama","83,209","79,142",937,408,522,64,"2,136","4,657"
"Dale County, Alabama","45,906","33,429","10,241",270,671,52,"1,243","3,420"
"Dallas County, Alabama","37,656","10,409","26,899",65,146,17,120,806
"DeKalb County, Alabama","66,904","56,420","1,046","1,992",253,22,"7,171","4,704"
"Elmore County, Alabama","83,736","63,139","18,211",337,674,32,"1,343","4,241"
"Escambia County, Alabama","35,146","22,202","10,991","1,539",114,22,278,"1,611"
"Etowah County, Alabama","98,179","78,584","15,146",739,927,54,"2,729","5,257"
"Fayette County, Alabama","15,675","13,666","1,736",72,51,6,144,646
"Franklin County, Alabama","30,521","24,333","1,166",651,68,10,"4,293","1,592"
"Geneva County, Alabama","25,140","22,078","2,241",182,89,7,543,"1,519"
"Greene County, Alabama","7,592","1,301","6,246",5,7,0,33,138
"Hale County, Alabama","14,481","5,999","8,337",39,25,15,66,304
"Henry County, Alabama","16,464","11,888","4,248",50,73,4,201,682
"Houston County, Alabama","101,611","69,265","28,408",496,"1,282",63,"2,097","5,591"
"Jackson County, Alabama","49,025","45,480","1,636",770,214,4,921,"3,554"
"Jefferson County, Alabama","645,772","329,590","281,326","2,321","13,109",352,"19,074","28,949"
"Lamar County, Alabama","13,530","11,962","1,425",35,6,6,96,442
"Lauderdale County, Alabama","89,106","77,141","9,243",368,770,32,"1,552","4,458"
"Lawrence County, Alabama","30,199","24,915","3,304","1,447",87,8,438,"2,874"
"Lee County, Alabama","165,025","111,651","39,570",720,"8,572",120,"4,392","9,216"
"Limestone County, Alabama","96,885","77,064","13,307",708,"1,869",75,"3,862","6,685"
"Lowndes County, Alabama","10,086","2,818","7,192",17,15,5,39,225
"Macon County, Alabama","19,032","3,252","15,441",48,74,4,213,500
"Madison County, Alabama","358,764","242,510","92,066","2,978","10,292",482,"10,436","29,389"
"Marengo County, Alabama","18,900","8,428","10,188",9,54,3,218,423
"Marion County, Alabama","28,028","26,312","1,106",106,75,14,415,"1,313"
"Marshall County, Alabama","91,078","76,926","2,428","1,398",602,137,"9,587","6,534"
"Mobile County, Alabama","394,678","229,550","146,254","4,057","8,585",234,"5,998","20,131"
"Monroe County, Alabama","19,149","10,391","8,299",289,88,3,79,623
"Montgomery County, Alabama","220,759","75,074","130,467",795,"7,995",146,"6,282","8,195"
"Morgan County, Alabama","115,182","89,869","15,453",951,850,85,"7,974","8,239"
"Perry County, Alabama","8,335","2,359","5,936",16,10,3,11,176
"Pickens County, Alabama","18,623","10,739","7,489",27,78,0,290,500
"Pike County, Alabama","31,653","18,275","12,138",192,588,21,439,"1,356"
"Randolph County, Alabama","21,123","16,772","3,815",76,87,3,370,844
"Russell County, Alabama","55,776","27,532","26,243",228,420,140,"1,213","3,407"
"St. Clair County, Alabama","86,452","75,728","8,652",324,663,21,"1,064","4,651"
"Shelby County, Alabama","209,440","165,206","28,939","1,128","5,152",108,"8,907","13,584"
"Sumter County, Alabama","12,131","2,974","8,997",26,102,5,27,214
"Talladega County, Alabama","79,241","51,214","26,439",209,395,27,957,"2,908"
"Tallapoosa County, Alabama","39,912","28,477","10,409",127,222,0,677,"1,399"
"Tuscaloosa County, Alabama","216,301","136,582","69,088",963,"3,253",104,"6,311","10,735"
"Walker County, Alabama","62,612","57,012","3,929",321,297,6,"1,047","2,730"
"Washington County, Alabama","14,816","10,309","3,318","1,114",14,7,54,572
"Wilcox County, Alabama","10,422","2,880","7,483",11,7,6,35,178
"Winston County, Alabama","22,473","21,760",141,113,61,9,389,"1,067"
"Aleutians East Borough, Alaska","3,212",684,297,802,771,32,626,208
